Datum,Frage,Link
T1,Für welche Person bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/jax2qst3g41pg1gjxwxou/Tag1.mp3?rlkey=vcgpddbemcndtphxl8ng69rfh&dl=0
T2,Für welche Fähigkeit bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/pq8rcpg2wb9qgdrq414yf/Tag2.mp3?rlkey=ax874kqhk2drw6qb1j2gs02xn&dl=0
T3,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/70bvsoww4v8ds6s3ooqy2/Tag3.mp3?rlkey=erew8hlip3rhoyobypqm7nprh&dl=0
T4,"Für welche Sache bin ich dankbar, die mir Freude bereitet?",https://dl.dropboxusercontent.com/scl/fi/3odnfe1mcid7dvj7vvrjc/Tag4.mp3?rlkey=dn9yztzvsycw6zz8g7k2qwwdh&dl=0
T5,"Für welche Sache bin ich dankbar, die nicht selbstverständlich ist?",https://dl.dropboxusercontent.com/scl/fi/8f5si01q92lzldi5iv8yu/Tag5.mp3?rlkey=5d2o8w7d3zhvrettwie7hhj82&dl=0
T6,Für welches schöne Erlebnis bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/7kyqq9z688ms1z8gpav3i/Tag6.mp3?rlkey=lpzgycbo5bxmf3fhw2irtrqu7&dl=0
W1,Darauf freue ich mich in der nächsten Woche,https://dl.dropboxusercontent.com/scl/fi/17ca09ejj2ivkl7waaqi1/Woche1.mp3?rlkey=ovs4nbpvjhmy99v422fgl686m&dl=0
T8,Für welches interessante Thema bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/r4in0p6t0z0n4r9kl47ei/Tag8.mp3?rlkey=da30ngk1s79vp3vo0zkyhidmd&dl=0
T9,Für welche Charaktereigenschaft bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/evl8gscnfjzlrvf6sz5kr/Tag9.mp3?rlkey=s3gv9sbksxpn2ezghknubzus3&dl=0
T10,Für welche Sicherheit bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/zr98cm6w9djvbd7z6aqv2/Tag10.mp3?rlkey=bx3ukv79edk4mi3wfkslpnpt8&dl=0
T11,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/erzwvgsz4vae6iyrqrbgs/Tag11.mp3?rlkey=cooffzeclbhds51zsh0ywug7e&dl=0
T12,Für welche alltägliche Freude bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/i2x66az1wx9lvo19cb3kr/Tag12.mp3?rlkey=dlhq4rmvaj9wx05w84hgfkfp6&dl=0
T13,Für welche Herausforderung bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/jseie6wk79ksia9fkktz0/Tag13.mp3?rlkey=94dley9n1m7sj01q5fr4m8mfn&dl=0
W2,Darauf achte ich bei meiner Ernährung in der nächsten Woche,https://dl.dropboxusercontent.com/scl/fi/q95msrs1gsv6k48seqfcm/Woche2.mp3?rlkey=c7c0g5ebu5q6y3bmsxlgfu9dh&dl=0
T15,Für welchen Aspekt meiner körperlichen Gesundheit bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/y4lsihyjyxw9haigdixc5/Tag15.mp3?rlkey=3dvqzcaucyhp83smzm9q1s7cv&dl=0
T16,Für welches Vorbild bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/6f7q77o062mh5m56bj5a5/Tag16.mp3?rlkey=b4lse2prdyeysbflm6n5py78g&dl=0
T17,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/9jfhhd8zscf5ywjviu0mx/Tag17.mp3?rlkey=fzx4158a5he11o44aqd4yf27c&dl=0
T18,Für welchen Ort in der Natur bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/brs14ap1e1033jrq8yznq/Tag18.mp3?rlkey=8wy2c30u5iwiesixepnjunp8l&dl=0
T19,Für welche Freude im Alltag bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/2j37mxs2936vld54t3hna/Tag19.mp3?rlkey=s0f5ek50tmq9w5i2ollew3vg5&dl=0
T20,Für welches Buch bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/gpmyjffo2o9z4kv8lfk5w/Tag20.mp3?rlkey=2lyh3p9zzxkx62m9oy6rk32j3&dl=0
W3,Das möchte ich nächste Woche anders machen,https://dl.dropboxusercontent.com/scl/fi/xxwncu4lohozlaybra5rm/Woche3.mp3?rlkey=g36n48z2icp4bcafbylaftlq2&dl=0
T22,"Für was bin ich dankbar, das früher selbstverständlich war?",https://dl.dropboxusercontent.com/scl/fi/ykzyxlmms8r6hndt4m65r/Tag22.mp3?rlkey=hydlv2qej3ljx0jis43tnb7wx&dl=0
T23,Für welche Routine bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/98bx9gms2b7koqd0fp6h3/Tag23.mp3?rlkey=0yphg1qoc1bletcnzs2ptxkwd&dl=0
T24,"Für welche Person, die mir mal geholfen hat, bin ich dankbar?",https://dl.dropboxusercontent.com/scl/fi/4dxuygzisdkza09u052wd/Tag24.mp3?rlkey=rfkouqrxzwvb6xs7ce6mgre18&dl=0
T25,Für was bin ich aktuell dankbar?,https://dl.dropboxusercontent.com/scl/fi/5oc0gohkh864af0p50v02/Tag25.mp3?rlkey=vjj5nlp3e6isabneo7cxyqt7m&dl=0
T26,Für welchen gesunden Bereich meines Körpers bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/hamu2tixr5enrkd4q3720/Tag26.mp3?rlkey=f6bvawbuy8lur9jbcs0skxgue&dl=0
T27,Für welche Chance bin ich dankbar?,https://dl.dropboxusercontent.com/scl/fi/9ej66zpbuepb1jhtlip3g/Tag27.mp3?rlkey=3fex9vni2u83n8736apwlrdd1&dl=0
W4,Mit diesem Menschen möchte ich nächste Woche Zeit verbringen,https://dl.dropboxusercontent.com/scl/fi/xfs5c6r4wvircqjf9tz1m/Woche4.mp3?rlkey=qnxv15e6lqtgfpg41bfuc7ewh&dl=0
